| name                      | title                     | level | facing   | categories   | description                                                                                                                                    | detail                                                                                                                                                 | remediation                                                                                   | metadata                                                                                                                        | cache_key                                       |
| ------------------------- | ------------------------- | ----- | -------- | ------------ | ---------------------------------------------------------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------------------------------ | --------------------------------------------------------------------------------------------- | ------------------------------------------------------------------------------------------------------------------------------- | ----------------------------------------------- |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.clinic_settings\` is public, but RLS has not been enabled.                                                                              | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"clinic_settings","type":"table","schema":"public"}                                                                     | rls_disabled_in_public_public_clinic_settings   |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.procedures\` is public, but RLS has not been enabled.                                                                                   | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"procedures","type":"table","schema":"public"}                                                                          | rls_disabled_in_public_public_procedures        |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.patients\` is public, but RLS has not been enabled.                                                                                     | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"patients","type":"table","schema":"public"}                                                                            | rls_disabled_in_public_public_patients          |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.users\` is public, but RLS has not been enabled.                                                                                        | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"users","type":"table","schema":"public"}                                                                               | rls_disabled_in_public_public_users             |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.quote_items\` is public, but RLS has not been enabled.                                                                                  | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"quote_items","type":"table","schema":"public"}                                                                         | rls_disabled_in_public_public_quote_items       |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.quotes\` is public, but RLS has not been enabled.                                                                                       | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"quotes","type":"table","schema":"public"}                                                                              | rls_disabled_in_public_public_quotes            |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.session\` is public, but RLS has not been enabled.                                                                                      | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"session","type":"table","schema":"public"}                                                                             | rls_disabled_in_public_public_session           |
| rls_disabled_in_public    | RLS Disabled in Public    | ERROR | EXTERNAL | ["SECURITY"] | Detects cases where row level security (RLS) has not been enabled on tables in schemas exposed to PostgREST                                    | Table \`public.patient_photos\` is public, but RLS has not been enabled.                                                                               | https://supabase.com/docs/guides/database/database-linter?lint=0013_rls_disabled_in_public    | {"name":"patient_photos","type":"table","schema":"public"}                                                                      | rls_disabled_in_public_public_patient_photos    |
| sensitive_columns_exposed | Sensitive Columns Exposed | ERROR | EXTERNAL | ["SECURITY"] | Detects tables exposed via API that contain columns with potentially sensitive data (PII, credentials, financial info) without RLS protection. | Table `public.patient_photos` is exposed via API without RLS and contains potentially sensitive column(s): patient_id. This may lead to data exposure. | https://supabase.com/docs/guides/database/database-linter?lint=0023_sensitive_columns_exposed | {"name":"patient_photos","type":"table","schema":"public","matched_patterns":["patient_id"],"sensitive_columns":["patient_id"]} | sensitive_columns_exposed_public_patient_photos |
| sensitive_columns_exposed | Sensitive Columns Exposed | ERROR | EXTERNAL | ["SECURITY"] | Detects tables exposed via API that contain columns with potentially sensitive data (PII, credentials, financial info) without RLS protection. | Table `public.quotes` is exposed via API without RLS and contains potentially sensitive column(s): patient_id. This may lead to data exposure.         | https://supabase.com/docs/guides/database/database-linter?lint=0023_sensitive_columns_exposed | {"name":"quotes","type":"table","schema":"public","matched_patterns":["patient_id"],"sensitive_columns":["patient_id"]}         | sensitive_columns_exposed_public_quotes         |
| sensitive_columns_exposed | Sensitive Columns Exposed | ERROR | EXTERNAL | ["SECURITY"] | Detects tables exposed via API that contain columns with potentially sensitive data (PII, credentials, financial info) without RLS protection. | Table `public.users` is exposed via API without RLS and contains potentially sensitive column(s): password. This may lead to data exposure.            | https://supabase.com/docs/guides/database/database-linter?lint=0023_sensitive_columns_exposed | {"name":"users","type":"table","schema":"public","matched_patterns":["password"],"sensitive_columns":["password"]}              | sensitive_columns_exposed_public_users          |
